TITLE|BLUETOOTH_VERSION|USB_VERSION|DEVICE_TYPE|SIM_CARD_SLOT|OS|OS_BITS|SIM_CARD_TYPE|BRAND|MODEL|PRICE|WIRELESS_CONNECTIVITY|NETWORK_4G|NETWORK_3G|NETWORK_2G|NETWORK_TYPE|WIFI|BATTERY_CAPACITY|BATTERY_TYPE|RAM_CAPACITY|RAM_TYPE|GPU|CPU|CPU_FREQ|CPU_CORES|EXTERNAL_MEMORY|STORAGE_SSD|STORAGE_HDD|CAMERA_FRONT|CAMERA_BACK|WEIGHT|PRODUCT_SIZE|SCREEN_SIZE|SCREEN_PPI|SCREEN_TYPE|SCREEN_RESOLUTION|COLOR|ETHERNET_SPEED
samsung galaxy s7 edge duos 32gb sm-g935fd pink|v4.2, a2dp, le, apt-x||||android os, v6.0 (marshmallow)||dual sim (nano-sim, dual stand-by)|||571 €||lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 28(700), 38(2600), 39(1900), 40(2300), 41(2500)|hsdpa 850 / 900 / 1900 / 2100 sim 1|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2||wi-fi 802.11 a/b/g/n/ac, dual-band, wi-fi direct, hotspot|non-removable li-ion 3600 mah battery|| 4 gb ram||mali-t880 mp12|exynos 8890 octa||quad-core 2.6 ghz mongoose + quad-core 1.6 ghz cortex-a53|microsd, up to 256 gb (uses sim 2 slot)|32 gb||5 mp, f/1.7, 22mm, dual video call, auto hdr|12 mp, f/1.7, 26mm, phase detection autofocus, ois, led flash|157 g (5.54 oz)|150.9 x 72.6 x 7.7 mm (5.94 x 2.86 x 0.30 in)|5.5 inches (~76.1% screen-to-body ratio)||super amoled capacitive touchscreen, 16m colors|1440 x 2560 pixels (~534 ppi pixel density)||
samsung galaxy s8 dual sim 64gb sm-g950fd gold|5.0, a2dp, le, aptx||||android 7.0 (nougat)||dual sim (nano-sim, dual stand-by)|||678 €||lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 17(700), 20(800), 28(700)|hsdpa 850 / 900 / 1700(aws) / 1900 / 2100|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2||wi-fi 802.11 a/b/g/n/ac, dual-band, wi-fi direct, hotspot|non-removable li-ion 3000 mah battery|| 4 gb ram||mali-g71 mp20|exynos 8895 octa||octa-core (4x2.3 ghz & 4x1.7 ghz)|microsd, up to 256 gb (uses sim 2 slot)|64 gb||8 mp, f/1.7, autofocus, 1440p@30fps, dual video call, auto hdr|12 mp, f/1.7, 26mm, phase detection autofocus, ois, led flash|155 g (5.47 oz)|148.9 x 68.1 x 8 mm (5.86 x 2.68 x 0.31 in)|5.8 inches (~83.6% screen-to-body ratio)||super amoled capacitive touchscreen, 16m colors|1440 x 2960 pixels (~570 ppi pixel density)||
samsung galaxy s8 dual sim 64gb sm-g950fd midnight black|5.0, a2dp, le, aptx||||android 7.0 (nougat)||dual sim (nano-sim, dual stand-by)|||700 €||lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 17(700), 20(800), 28(700)|hsdpa 850 / 900 / 1700(aws) / 1900 / 2100|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2||wi-fi 802.11 a/b/g/n/ac, dual-band, wi-fi direct, hotspot|non-removable li-ion 3000 mah battery|| 4 gb ram||mali-g71 mp20|exynos 8895 octa||octa-core (4x2.3 ghz & 4x1.7 ghz)|microsd, up to 256 gb (uses sim 2 slot)|64 gb||8 mp, f/1.7, autofocus, 1440p@30fps, dual video call, auto hdr|12 mp, f/1.7, 26mm, phase detection autofocus, ois, led flash|155 g (5.47 oz)|148.9 x 68.1 x 8 mm (5.86 x 2.68 x 0.31 in)|5.8 inches (~83.6% screen-to-body ratio)||super amoled capacitive touchscreen, 16m colors|1440 x 2960 pixels (~570 ppi pixel density)||
samsung galaxy s8 plus lte 64gb sm-g955f midnight black|v5.0, a2dp, le, aptx||||android os, v7.0||nano-sim|||738 €||lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 17(700), 20(800), 28(700)|hsdpa 850 / 900 / 1700(aws) / 1900 / 2100|gsm 850 / 900 / 1800 / 1900||wi-fi 802.11 a/b/g/n/ac, dual-band, wi-fi direct, hotspot|non-removable li-ion 3500 mah battery|| 4 gb ram||mali-g71 mp20|exynos 8895 octa||octa-core (4x2.3 ghz & 4x1.7 ghz)|microsd, up to 256 gb (dedicated slot)|64 gb||8 mp, f/1.7, autofocus, 1440p@30fps, dual video call, auto hdr|12 mp, f/1.7, 26mm, phase detection autofocus, ois, led flash|173 g (6.10 oz)|159.5 x 73.4 x 8.1 mm (6.28 x 2.89 x 0.32 in)|6.2 inches (~84.0% screen-to-body ratio)||super amoled capacitive touchscreen, 16m colors|1440 x 2960 pixels (~529 ppi pixel density)||
samsung galaxy s8 dual sim 64gb sm-g950fd orchid gray|5.0, a2dp, le, aptx||||android 7.0 (nougat)||dual sim (nano-sim, dual stand-by)|||678 €||lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 17(700), 20(800), 28(700)|hsdpa 850 / 900 / 1700(aws) / 1900 / 2100|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2||wi-fi 802.11 a/b/g/n/ac, dual-band, wi-fi direct, hotspot|non-removable li-ion 3000 mah battery|| 4 gb ram||mali-g71 mp20|exynos 8895 octa||octa-core (4x2.3 ghz & 4x1.7 ghz)|microsd, up to 256 gb (uses sim 2 slot)|64 gb||8 mp, f/1.7, autofocus, 1440p@30fps, dual video call, auto hdr|12 mp, f/1.7, 26mm, phase detection autofocus, ois, led flash|155 g (5.47 oz)|148.9 x 68.1 x 8 mm (5.86 x 2.68 x 0.31 in)|5.8 inches (~83.6% screen-to-body ratio)||super amoled capacitive touchscreen, 16m colors|1440 x 2960 pixels (~570 ppi pixel density)||
samsung galaxy s7 edge duos 64gb sm-g935fd pink|v4.2, a2dp, le, apt-x||||android os, v6.0 (marshmallow)||dual sim (nano-sim, dual stand-by)|||587 €||lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 28(700), 38(2600), 39(1900), 40(2300), 41(2500)|hsdpa 850 / 900 / 1900 / 2100 sim 1|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2||wi-fi 802.11 a/b/g/n/ac, dual-band, wi-fi direct, hotspot|non-removable li-ion 3600 mah battery|| 4 gb ram||mali-t880 mp12|exynos 8890 octa||quad-core 2.6 ghz mongoose + quad-core 1.6 ghz cortex-a53|microsd, up to 256 gb (uses sim 2 slot)|64 gb||5 mp, f/1.7, 22mm, dual video call, auto hdr|12 mp, f/1.7, 26mm, phase detection autofocus, ois, led flash|157 g (5.54 oz)|150.9 x 72.6 x 7.7 mm (5.94 x 2.86 x 0.30 in)|5.5 inches (~76.1% screen-to-body ratio)||super amoled capacitive touchscreen, 16m colors|1440 x 2560 pixels (~534 ppi pixel density)||
samsung galaxy s8 lte 64gb sm-g950f orchid gray|5.0, a2dp, le, aptx||||android 7.0 (nougat)||nano-sim|||644 €||lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 17(700), 20(800), 28(700)|hsdpa 850 / 900 / 1700(aws) / 1900 / 2100|gsm 850 / 900 / 1800 / 1900||wi-fi 802.11 a/b/g/n/ac, dual-band, wi-fi direct, hotspot|non-removable li-ion 3000 mah battery|| 4 gb ram||mali-g71 mp20|exynos 8895 octa||octa-core (4x2.3 ghz & 4x1.7 ghz)|microsd, up to 256 gb (dedicated slot)|64 gb||8 mp, f/1.7, autofocus, 1440p@30fps, dual video call, auto hdr|12 mp, f/1.7, 26mm, phase detection autofocus, ois, led flash|155 g (5.47 oz)|148.9 x 68.1 x 8 mm (5.86 x 2.68 x 0.31 in)|5.8 inches (~83.6% screen-to-body ratio)||super amoled capacitive touchscreen, 16m colors|1440 x 2960 pixels (~570 ppi pixel density)||
samsung galaxy s7 edge duos 128gb sm-g935fd black|v4.2, a2dp, le, apt-x||||android os, v6.0 (marshmallow)||dual sim (nano-sim, dual stand-by)|||602 €||lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 28(700), 38(2600), 39(1900), 40(2300), 41(2500)|hsdpa 850 / 900 / 1900 / 2100 sim 1|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2||wi-fi 802.11 a/b/g/n/ac, dual-band, wi-fi direct, hotspot|non-removable li-ion 3600 mah battery|| 4 gb ram||mali-t880 mp12|exynos 8890 octa||quad-core 2.6 ghz mongoose + quad-core 1.6 ghz cortex-a53|microsd, up to 256 gb (uses sim 2 slot)|128 gb||5 mp, f/1.7, 22mm, dual video call, auto hdr|12 mp, f/1.7, 26mm, phase detection autofocus, ois, led flash|157 g (5.54 oz)|150.9 x 72.6 x 7.7 mm (5.94 x 2.86 x 0.30 in)|5.5 inches (~76.1% screen-to-body ratio)||super amoled capacitive touchscreen, 16m colors|1440 x 2560 pixels (~534 ppi pixel density)||
samsung galaxy s8 lte 64gb sm-g950f arctic silver|5.0, a2dp, le, aptx||||android 7.0 (nougat)||nano-sim|||644 €||lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 17(700), 20(800), 28(700)|hsdpa 850 / 900 / 1700(aws) / 1900 / 2100|gsm 850 / 900 / 1800 / 1900||wi-fi 802.11 a/b/g/n/ac, dual-band, wi-fi direct, hotspot|non-removable li-ion 3000 mah battery|| 4 gb ram||mali-g71 mp20|exynos 8895 octa||octa-core (4x2.3 ghz & 4x1.7 ghz)|microsd, up to 256 gb (dedicated slot)|64 gb||8 mp, f/1.7, autofocus, 1440p@30fps, dual video call, auto hdr|12 mp, f/1.7, 26mm, phase detection autofocus, ois, led flash|155 g (5.47 oz)|148.9 x 68.1 x 8 mm (5.86 x 2.68 x 0.31 in)|5.8 inches (~83.6% screen-to-body ratio)||super amoled capacitive touchscreen, 16m colors|1440 x 2960 pixels (~570 ppi pixel density)||
samsung galaxy s8 plus dual sim 64gb sm-g955fd orchid gray|v5.0, a2dp, le, aptx||||android os, v7.0||dual sim (nano-sim, dual stand-by)|||743 €||lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 17(700), 20(800), 28(700)|hsdpa 850 / 900 / 1700(aws) / 1900 / 2100|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2||wi-fi 802.11 a/b/g/n/ac, dual-band, wi-fi direct, hotspot|non-removable li-ion 3500 mah battery|| 4 gb ram||mali-g71 mp20|exynos 8895 octa||octa-core (4x2.3 ghz & 4x1.7 ghz)|microsd, up to 256 gb (uses sim 2 slot)|64 gb||8 mp, f/1.7, autofocus, 1440p@30fps, dual video call, auto hdr|12 mp, f/1.7, 26mm, phase detection autofocus, ois, led flash|173 g (6.10 oz)|159.5 x 73.4 x 8.1 mm (6.28 x 2.89 x 0.32 in)|6.2 inches (~84.0% screen-to-body ratio)||super amoled capacitive touchscreen, 16m colors|1440 x 2960 pixels (~529 ppi pixel density)||
samsung galaxy s8 plus dual sim 64gb sm-g955fd midnight black|v5.0, a2dp, le, aptx||||android os, v7.0||dual sim (nano-sim, dual stand-by)|||752 €||lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 17(700), 20(800), 28(700)|hsdpa 850 / 900 / 1700(aws) / 1900 / 2100|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2||wi-fi 802.11 a/b/g/n/ac, dual-band, wi-fi direct, hotspot|non-removable li-ion 3500 mah battery|| 4 gb ram||mali-g71 mp20|exynos 8895 octa||octa-core (4x2.3 ghz & 4x1.7 ghz)|microsd, up to 256 gb (uses sim 2 slot)|64 gb||8 mp, f/1.7, autofocus, 1440p@30fps, dual video call, auto hdr|12 mp, f/1.7, 26mm, phase detection autofocus, ois, led flash|173 g (6.10 oz)|159.5 x 73.4 x 8.1 mm (6.28 x 2.89 x 0.32 in)|6.2 inches (~84.0% screen-to-body ratio)||super amoled capacitive touchscreen, 16m colors|1440 x 2960 pixels (~529 ppi pixel density)||
samsung galaxy s8 plus lte 64gb sm-g955f orchid gray|v5.0, a2dp, le, aptx||||android os, v7.0||nano-sim|||738 €||lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 17(700), 20(800), 28(700)|hsdpa 850 / 900 / 1700(aws) / 1900 / 2100|gsm 850 / 900 / 1800 / 1900||wi-fi 802.11 a/b/g/n/ac, dual-band, wi-fi direct, hotspot|non-removable li-ion 3500 mah battery|| 4 gb ram||mali-g71 mp20|exynos 8895 octa||octa-core (4x2.3 ghz & 4x1.7 ghz)|microsd, up to 256 gb (dedicated slot)|64 gb||8 mp, f/1.7, autofocus, 1440p@30fps, dual video call, auto hdr|12 mp, f/1.7, 26mm, phase detection autofocus, ois, led flash|173 g (6.10 oz)|159.5 x 73.4 x 8.1 mm (6.28 x 2.89 x 0.32 in)|6.2 inches (~84.0% screen-to-body ratio)||super amoled capacitive touchscreen, 16m colors|1440 x 2960 pixels (~529 ppi pixel density)||
samsung galaxy s8 plus lte 64gb sm-g9550 midnight black|v5.0, a2dp, le, aptx||||android os, v7.0||nano-sim|||783 €||lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 17(700), 20(800), 28(700)|hsdpa 850 / 900 / 1700(aws) / 1900 / 2100|gsm 850 / 900 / 1800 / 1900||wi-fi 802.11 a/b/g/n/ac, dual-band, wi-fi direct, hotspot|non-removable li-ion 3500 mah battery|| 4 gb ram||mali-g71 mp20|exynos 8895 octa||octa-core (4x2.3 ghz & 4x1.7 ghz)|microsd, up to 256 gb (dedicated slot)|64 gb||8 mp, f/1.7, autofocus, 1440p@30fps, dual video call, auto hdr|12 mp, f/1.7, 26mm, phase detection autofocus, ois, led flash|173 g (6.10 oz)|159.5 x 73.4 x 8.1 mm (6.28 x 2.89 x 0.32 in)|6.2 inches (~84.0% screen-to-body ratio)||super amoled capacitive touchscreen, 16m colors|1440 x 2960 pixels (~529 ppi pixel density)||
sony xperia xz premium dual sim 64gb g8142 black|5.0, a2dp, aptx, le||||android 7.1 (nougat)||dual sim (nano-sim, dual stand-by)|||||lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 19(800), 20(800), 26(850), 28(700), 29(700), 32(1500), 38(2600), 39(1900), 40(2300), 41(2500)|hsdpa 800 / 850 / 900 / 1700(aws) / 1900 / 2100|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2||wi-fi 802.11 a/b/g/n/ac, dual-band, wi-fi direct, dlna, hotspot|non-removable li-ion 3230 mah battery|| 4 gb ram||adreno 540|qualcomm msm8998 snapdragon 835||octa-core (4x2.45 ghz kryo & 4x1.9 ghz kryo)|microsd, up to 256 gb (uses sim 2 slot)|64 gb||"13 mp, f/2.0, 22mm, 1/3"" sensor size, 1.12"|19 mp, f/2.0, 25mm, eis (gyro), predictive phase detection and laser autofocus, led flash|195 g (6.88 oz)|156 x 77 x 7.9 mm (6.14 x 3.03 x 0.31 in)|5.46 inches (~68.4% screen-to-body ratio)||ips lcd capacitive touchscreen, 16m colors|3840 x 2160 pixels (~807 ppi pixel density)||
sony xperia xz dual sim 64gb f8332 silver|v4.2, a2dp, aptx, le||||android os, v6.0.1 (marshmallow), planned upgrade to v7.0 (nougat)||dual sim (nano-sim, dual stand-by)|||469 €||lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 19(800), 20(800), 26(850), 28(700), 29(700), 32(1500), 38(2600), 39(1900), 40(2300), 41(2500)|hsdpa 800 / 850 / 900 / 1700(aws) / 1900 / 2100|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2||wi-fi 802.11 a/b/g/n/ac, dual-band, wi-fi direct, dlna, hotspot|non-removable li-ion 2900 mah battery|| 3 gb ram||adreno 530|qualcomm msm8996 snapdragon 820||quad-core (2x2.15 ghz kryo & 2x1.6 ghz kryo)|microsd, up to 256 gb (uses sim 2 slot)|64 gb||13 mp, f/2.0, 22mm, 1/3|23 mp, f/2.0, 24mm, phase detection and laser autofocus, led flash|161 g (5.68 oz)|146 x 72 x 8.1 mm (5.75 x 2.83 x 0.32 in)|5.2 inches (~70.9% screen-to-body ratio)||ips lcd capacitive touchscreen, 16m colors|1080 x 1920 pixels (~424 ppi pixel density)||
sony xperia xz dual sim 64gb f8332 black|v4.2, a2dp, aptx, le||||android os, v6.0.1 (marshmallow), planned upgrade to v7.0 (nougat)||dual sim (nano-sim, dual stand-by)|||469 €||lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 19(800), 20(800), 26(850), 28(700), 29(700), 32(1500), 38(2600), 39(1900), 40(2300), 41(2500)|hsdpa 800 / 850 / 900 / 1700(aws) / 1900 / 2100|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2||wi-fi 802.11 a/b/g/n/ac, dual-band, wi-fi direct, dlna, hotspot|non-removable li-ion 2900 mah battery|| 3 gb ram||adreno 530|qualcomm msm8996 snapdragon 820||quad-core (2x2.15 ghz kryo & 2x1.6 ghz kryo)|microsd, up to 256 gb (uses sim 2 slot)|64 gb||13 mp, f/2.0, 22mm, 1/3|23 mp, f/2.0, 24mm, phase detection and laser autofocus, led flash|161 g (5.68 oz)|146 x 72 x 8.1 mm (5.75 x 2.83 x 0.32 in)|5.2 inches (~70.9% screen-to-body ratio)||ips lcd capacitive touchscreen, 16m colors|1080 x 1920 pixels (~424 ppi pixel density)||
sony xperia xa1 ultra dual sim 64gb g3226 white|4.2, a2dp, aptx, le||||android 7.0 (nougat)||dual sim (nano-sim, dual stand-by)|||444 €||lte band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 28(700), 38(2600), 39(1900), 40(2300), 41(2500)|hsdpa 850 / 900 / 1900 / 2100|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2||wi-fi 802.11 a/b/g/n, dual-band, wi-fi direct, hotspot|non-removable li-ion 2700 mah battery|| 4 gb ram||mali-t880mp2|mediatek mt6757 helio p20||octa-core (4x2.3 ghz cortex-a53 & 4x1.6 ghz cortex-a53)|microsd, up to 256 gb|64 gb||"16 mp, f/2.0, 23mm, 1/2.6"" sensor size, ois, autofocus, led flash, 1080p"|23 mp, f/2.0, 24mm, phase detection and laser autofocus, led flash|188 g (6.63 oz)|165 x 79 x 8.1 mm (6.50 x 3.11 x 0.32 in)|6.0 inches (~76.1% screen-to-body ratio)||ips lcd capacitive touchscreen, 16m colors|1080 x 1920 pixels (~367 ppi pixel density)||
sony xperia xa ultra dual sim 16gb f3216 lime|v4.1, a2dp, le, apt-x||||android os, v6.0.1 (marshmallow)||dual sim (nano-sim, dual stand-by)|||305 €||lte band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 28(700), 38(2600), 39(1900), 40(2300), 41(2500)|hsdpa 850 / 900 / 1900 / 2100|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2||wi-fi 802.11 a/b/g/n, wi-fi direct, hotspot|non-removable li-ion 2700 mah battery|| 3 gb ram||mali-t860mp2|mediatek mt6755 helio p10||octa-core 2.0 ghz cortex-a53|microsd, up to 256 gb (dedicated slot)|16 gb||16 mp, 1/2.6|21.5 mp, phase detection autofocus, led flash|202 g (7.13 oz)|164 x 79 x 8.4 mm (6.46 x 3.11 x 0.33 in)|6.0 inches (~76.6% screen-to-body ratio)||ips lcd capacitive touchscreen, 16m colors|1080 x 1920 pixels (~367 ppi pixel density)||
sony xperia xz premium dual sim 64gb g8142 chrome|5.0, a2dp, aptx, le||||android 7.1 (nougat)||dual sim (nano-sim, dual stand-by)|||702 €||lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 19(800), 20(800), 26(850), 28(700), 29(700), 32(1500), 38(2600), 39(1900), 40(2300), 41(2500)|hsdpa 800 / 850 / 900 / 1700(aws) / 1900 / 2100|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2||wi-fi 802.11 a/b/g/n/ac, dual-band, wi-fi direct, dlna, hotspot|non-removable li-ion 3230 mah battery|| 4 gb ram||adreno 540|qualcomm msm8998 snapdragon 835||octa-core (4x2.45 ghz kryo & 4x1.9 ghz kryo)|microsd, up to 256 gb (uses sim 2 slot)|64 gb||"13 mp, f/2.0, 22mm, 1/3"" sensor size, 1.12"|19 mp, f/2.0, 25mm, eis (gyro), predictive phase detection and laser autofocus, led flash|195 g (6.88 oz)|156 x 77 x 7.9 mm (6.14 x 3.03 x 0.31 in)|5.46 inches (~68.4% screen-to-body ratio)||ips lcd capacitive touchscreen, 16m colors|3840 x 2160 pixels (~807 ppi pixel density)||
sony xperia xz dual sim 64gb f8332 blue|v4.2, a2dp, aptx, le||||android os, v6.0.1 (marshmallow), planned upgrade to v7.0 (nougat)||dual sim (nano-sim, dual stand-by)|||469 €||lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 19(800), 20(800), 26(850), 28(700), 29(700), 32(1500), 38(2600), 39(1900), 40(2300), 41(2500)|hsdpa 800 / 850 / 900 / 1700(aws) / 1900 / 2100|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2||wi-fi 802.11 a/b/g/n/ac, dual-band, wi-fi direct, dlna, hotspot|non-removable li-ion 2900 mah battery|| 3 gb ram||adreno 530|qualcomm msm8996 snapdragon 820||quad-core (2x2.15 ghz kryo & 2x1.6 ghz kryo)|microsd, up to 256 gb (uses sim 2 slot)|64 gb||13 mp, f/2.0, 22mm, 1/3|23 mp, f/2.0, 24mm, phase detection and laser autofocus, led flash|161 g (5.68 oz)|146 x 72 x 8.1 mm (5.75 x 2.83 x 0.32 in)|5.2 inches (~70.9% screen-to-body ratio)||ips lcd capacitive touchscreen, 16m colors|1080 x 1920 pixels (~424 ppi pixel density)||
sony xperia z5 dual sim e6683 white|v4.1, a2dp, apt-x||||android os, v5.1.1 (lollipop), planned upgrade to v6.0 (marshmallow)||dual sim (nano-sim, dual stand-by)|||321 €||lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 17(700), 20(800), 38(2600), 39(1900), 40(2300), 41(2500)|hsdpa 850 / 900 / 1900 / 2100|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2||wi-fi 802.11 a/b/g/n/ac, dual-band, wi-fi direct, dlna, hotspot|non-removable li-ion 2900 mah battery|| 3 gb ram||adreno 430|qualcomm msm8994 snapdragon 810||quad-core 1.5 ghz cortex-a53 & quad-core 2 ghz cortex-a57|microsd, up to 200 gb|32 gb||5.1 mp, 1080p, hdr|23 mp, 5520 х 4140 pixels, phase detection autofocus, led flash|154 g (5.43 oz)|146 x 72 x 7.3 mm (5.75 x 2.83 x 0.29 in)|5.2 inches (~69.6% screen-to-body ratio)||ips lcd capacitive touchscreen, 16m colors|1080 x 1920 pixels (~428 ppi pixel density)||
sony xperia xa1 ultra dual sim 64gb g3226 gold|4.2, a2dp, aptx, le||||android 7.0 (nougat)||dual sim (nano-sim, dual stand-by)|||444 €||lte band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 28(700), 38(2600), 39(1900), 40(2300), 41(2500)|hsdpa 850 / 900 / 1900 / 2100|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2||wi-fi 802.11 a/b/g/n, dual-band, wi-fi direct, hotspot|non-removable li-ion 2700 mah battery|| 4 gb ram||mali-t880mp2|mediatek mt6757 helio p20||octa-core (4x2.3 ghz cortex-a53 & 4x1.6 ghz cortex-a53)|microsd, up to 256 gb|64 gb||"16 mp, f/2.0, 23mm, 1/2.6"" sensor size, ois, autofocus, led flash, 1080p"|23 mp, f/2.0, 24mm, phase detection and laser autofocus, led flash|188 g (6.63 oz)|165 x 79 x 8.1 mm (6.50 x 3.11 x 0.32 in)|6.0 inches (~76.1% screen-to-body ratio)||ips lcd capacitive touchscreen, 16m colors|1080 x 1920 pixels (~367 ppi pixel density)||
sony xperia z5 dual sim e6633 green|v4.1, a2dp, apt-x||||android os, v5.1.1 (lollipop), planned upgrade to v6.0 (marshmallow)||dual sim (nano-sim, dual stand-by)|||337 €||lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 17(700), 20(800)|hsdpa 850 / 900 / 1900 / 2100|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2||wi-fi 802.11 a/b/g/n/ac, dual-band, wi-fi direct, dlna, hotspot|non-removable li-ion 2900 mah battery|| 3 gb ram||adreno 430|qualcomm msm8994 snapdragon 810||quad-core 1.5 ghz cortex-a53 & quad-core 2 ghz cortex-a57|microsd, up to 200 gb|32 gb||5.1 mp, 1080p, hdr|23 mp, 5520 х 4140 pixels, phase detection autofocus, led flash|154 g (5.43 oz)|146 x 72 x 7.3 mm (5.75 x 2.83 x 0.29 in)|5.2 inches (~69.6% screen-to-body ratio)||ips lcd capacitive touchscreen, 16m colors|1080 x 1920 pixels (~428 ppi pixel density)||
sony xperia xa ultra dual sim 16gb f3216 white|v4.1, a2dp, le, apt-x||||android os, v6.0.1 (marshmallow)||dual sim (nano-sim, dual stand-by)|||305 €||lte band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 28(700), 38(2600), 39(1900), 40(2300), 41(2500)|hsdpa 850 / 900 / 1900 / 2100|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2||wi-fi 802.11 a/b/g/n, wi-fi direct, hotspot|non-removable li-ion 2700 mah battery|| 3 gb ram||mali-t860mp2|mediatek mt6755 helio p10||octa-core 2.0 ghz cortex-a53|microsd, up to 256 gb (dedicated slot)|16 gb||16 mp, 1/2.6|21.5 mp, phase detection autofocus, led flash|202 g (7.13 oz)|164 x 79 x 8.4 mm (6.46 x 3.11 x 0.33 in)|6.0 inches (~76.6% screen-to-body ratio)||ips lcd capacitive touchscreen, 16m colors|1080 x 1920 pixels (~367 ppi pixel density)||
sony xperia z5 premium dual sim e6833 gold|v4.1, a2dp, apt-x||||android os, v5.1.1 (lollipop), planned upgrade to v6.0 (marshmallow)||dual sim (nano-sim, dual stand-by)|||438 €||lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 17(700), 20(800)|hsdpa 850 / 900 / 1700(aws) / 1900 / 2100|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2||wi-fi 802.11 a/b/g/n/ac, dual-band, wi-fi direct, dlna, hotspot|non-removable li-ion 3430 mah battery|| 3 gb ram||adreno 430|qualcomm msm8994 snapdragon 810||quad-core 1.5 ghz cortex-a53 & quad-core 2 ghz cortex-a57|microsd, up to 200 gb|32 gb||5.1 mp, 1080p, hdr|23 mp, 5520 х 4140 pixels, phase detection autofocus, led flash|180 g (6.35 oz)|154.4 x 75.8 x 7.8 mm (6.08 x 2.98 x 0.31 in)|5.5 inches (~71.3% screen-to-body ratio)||ips lcd capacitive touchscreen, 16m colors|2160 x 3840 pixels (~801 ppi pixel density)||
